Priority,Phase,Group,Dataset,Specific file/layer,Source URL,Format,Use in PupWiki,Recommended local path,Notes,source_row,id,download_item_count,direct_item_count
P1,Core boundaries,US Census 2025 Cartographic,"Cartographic Boundary Files — National 1:500,000 bundle",All available national cartographic layers at 500k,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / Geodatabase,Primary boundary source for ETL/spatial joins; collect as canonical official boundary pack.,data-raw/census/2025/cartographic/national_500k/,Use 500k for spatial join; do not ship heavy boundaries to browser.,5,xlsm-row-05-cartographic-boundary-files-national-1-500-000-bundle,5,5
P1,Core boundaries,US Census 2025 Cartographic,States,State boundaries,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,Assign every OSM POI to state; build /places/{state}/ pages and state counts.,data-raw/census/2025/cartographic/states_500k/,Essential.,6,xlsm-row-06-states,1,1
P1,Core boundaries,US Census 2025 Cartographic,Counties,County boundaries,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,County fallback for POIs outside Census Places; rural SEO and state aggregation.,data-raw/census/2025/cartographic/counties_500k/,Essential fallback layer.,7,xlsm-row-07-counties,1,1
P1,Core boundaries,US Census 2025 Cartographic,Places,Incorporated places / Census designated places,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,City/place spatial join; primary source for /places/{state}/{city}/ URLs.,data-raw/census/2025/cartographic/places_500k/,Essential.,8,xlsm-row-08-places,1,1
P1,Core boundaries,US Census 2025 Cartographic,County Subdivisions,Minor civil divisions / census county divisions,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,Town/township fallback in states where subdivisions matter; improves rural/local assignment.,data-raw/census/2025/cartographic/county_subdivisions_500k/,Strongly useful in Northeast/Midwest.,9,xlsm-row-09-county-subdivisions,1,1
P1,Metro boundaries,US Census 2025 Cartographic,Core Based Statistical Areas (CBSAs),Metropolitan and micropolitan statistical areas,https://www.census.gov/geographies/mapping-files/2025/geo/carto-boundary-file.html,Shapefile / GeoPackage / KML,Metro enrichment; future /places/metros/{metro}/ pages; nearby city grouping.,data-raw/census/2025/cartographic/cbsa_500k/,"Collect early, use later.",10,xlsm-row-10-core-based-statistical-areas-cbsas,1,1
P1,Gazetteer,US Census 2025 Gazetteer,States Gazetteer,"State identifiers, names, area, representative lat/lon",https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,Official state names/GEOIDs/centroids; normalize state metadata.,data-raw/census/2025/gazetteer/states.txt,Essential.,11,xlsm-row-11-states-gazetteer,1,1
P1,Gazetteer,US Census 2025 Gazetteer,Counties Gazetteer,"County identifiers, names, area, representative lat/lon",https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,"County fallback metadata, county search and county centroid links.",data-raw/census/2025/gazetteer/counties.txt,Essential.,12,xlsm-row-12-counties-gazetteer,1,1
P1,Gazetteer,US Census 2025 Gazetteer,Places Gazetteer,"Place identifiers, names, area, representative lat/lon",https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,"City centroids, city search-index, near-me routing, official place names.",data-raw/census/2025/gazetteer/places.txt,Essential.,13,xlsm-row-13-places-gazetteer,1,1
P1,Gazetteer,US Census 2025 Gazetteer,County Subdivisions Gazetteer,County subdivision identifiers/names/centroids,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Pipe-delimited TXT,Town/township aliases and fallback metadata.,data-raw/census/2025/gazetteer/county_subdivisions.txt,Strongly useful.,14,xlsm-row-14-county-subdivisions-gazetteer,1,1
P1,OSM source,Geofabrik,United States OSM PBF,Full US OSM extract,https://download.geofabrik.de/north-america/us.html,.osm.pbf,Primary source for all dog-related POIs/services; local extraction with osmium/pyosmium.,data-raw/osm/geofabrik/us-latest.osm.pbf,Do not use live Overpass for production.,15,xlsm-row-15-united-states-osm-pbf,2,2
